provinsi,kotkab,kecamatan,desa,lon,lat,datetime,local_datetime,temperature,humidity,wind_speed,wind_direction,wind_degree,cloud_cover,precipitation,weather,weather_description,visibility,fetch_time,unique_key
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 04:00:00+00:00,2025-06-22 11:00:00,28,69,8.2,NE,66,25,0.1,1,Cerah,19986,2025-06-22 04:37:53.576446,20250622110000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 05:00:00+00:00,2025-06-22 12:00:00,30,68,9.5,NE,73,39,0.0,1,Cerah,28357,2025-06-21 22:24:08.801005,20250622120000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 06:00:00+00:00,2025-06-22 13:00:00,30,69,8.2,NE,66,49,2.3,61,Hujan Ringan,19986,2025-06-22 05:25:51.773136,20250622130000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 07:00:00+00:00,2025-06-22 14:00:00,30,69,5.2,E,100,95,2.3,61,Hujan Ringan,16008,2025-06-22 07:24:27.933614,20250622140000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 08:00:00+00:00,2025-06-22 15:00:00,29,84,6.9,NW,321,100,5.3,63,Hujan Sedang,8229,2025-06-21 22:24:08.801005,20250622150000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 09:00:00+00:00,2025-06-22 16:00:00,27,83,5.2,E,100,100,2.0,61,Hujan Ringan,16008,2025-06-22 09:26:12.816858,20250622160000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 10:00:00+00:00,2025-06-22 17:00:00,25,90,5.7,SW,265,100,2.0,61,Hujan Ringan,7104,2025-06-22 07:24:27.933614,20250622170000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 11:00:00+00:00,2025-06-22 18:00:00,25,95,5.7,SW,265,100,2.0,61,Hujan Ringan,7104,2025-06-22 11:20:25.153850,20250622180000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 12:00:00+00:00,2025-06-22 19:00:00,24,97,5.7,SW,265,100,0.6,3,Berawan,7104,2025-06-22 09:26:12.816858,20250622190000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 13:00:00+00:00,2025-06-22 20:00:00,24,97,1.7,S,192,98,0.6,3,Berawan,10291,2025-06-22 13:32:19.465304,20250622200000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 14:00:00+00:00,2025-06-22 21:00:00,24,97,1.7,S,192,100,0.6,3,Berawan,10291,2025-06-22 11:20:25.153850,20250622210000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 15:00:00+00:00,2025-06-22 22:00:00,24,99,1.3,S,193,100,0.0,3,Berawan,10003,2025-06-22 14:23:31.045521,20250622220000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 16:00:00+00:00,2025-06-22 23:00:00,24,99,0.6,S,208,96,0.0,3,Berawan,8991,2025-06-22 15:25:06.343570,20250622230000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 17:00:00+00:00,2025-06-23 00:00:00,24,98,0.6,S,208,91,0.0,3,Berawan,8991,2025-06-22 17:24:05.519888,20250623000000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 18:00:00+00:00,2025-06-23 01:00:00,24,99,0.6,S,208,92,0.0,3,Berawan,8991,2025-06-22 14:23:31.045521,20250623010000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 19:00:00+00:00,2025-06-23 02:00:00,23,99,2.2,W,281,93,0.0,3,Berawan,9005,2025-06-22 18:34:01.257791,20250623020000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 20:00:00+00:00,2025-06-23 03:00:00,23,99,2.2,W,281,91,0.0,3,Berawan,9005,2025-06-22 19:20:12.271506,20250623030000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 21:00:00+00:00,2025-06-23 04:00:00,23,99,2.2,W,281,91,0.0,3,Berawan,9005,2025-06-22 21:23:44.393668,20250623040000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 22:00:00+00:00,2025-06-23 05:00:00,23,98,2.3,SE,156,91,0.0,3,Berawan,12011,2025-06-22 18:34:01.257791,20250623050000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-22 23:00:00+00:00,2025-06-23 06:00:00,24,96,2.3,SE,156,90,0.0,3,Berawan,12011,2025-06-22 23:24:28.930947,20250623060000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 00:00:00+00:00,2025-06-23 07:00:00,25,92,2.3,SE,156,89,0.0,2,Cerah Berawan,12011,2025-06-22 21:23:44.393668,20250623070000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 01:00:00+00:00,2025-06-23 08:00:00,26,88,9.5,E,91,90,0.0,3,Berawan,11986,2025-06-22 18:34:01.257791,20250623080000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 02:00:00+00:00,2025-06-23 09:00:00,27,83,9.5,E,91,90,0.0,3,Berawan,11986,2025-06-22 23:24:28.930947,20250623090000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 03:00:00+00:00,2025-06-23 10:00:00,31,76,11.1,NE,88,98,0.0,3,Berawan,20012,2025-06-23 02:21:52.933621,20250623100000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 04:00:00+00:00,2025-06-23 11:00:00,32,75,11.7,NE,60,98,0.0,3,Berawan,19988,2025-06-23 04:42:03.589035,20250623110000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 05:00:00+00:00,2025-06-23 12:00:00,27,81,10.6,NE,46,91,2.0,61,Hujan Ringan,9993,2025-06-22 23:24:28.930947,20250623120000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 06:00:00+00:00,2025-06-23 13:00:00,31,82,11.7,NE,60,100,2.3,61,Hujan Ringan,19988,2025-06-23 05:28:55.537681,20250623130000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 07:00:00+00:00,2025-06-23 14:00:00,31,83,2.9,NE,46,100,2.3,61,Hujan Ringan,20009,2025-06-23 07:27:36.385499,20250623140000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 08:00:00+00:00,2025-06-23 15:00:00,28,80,4.0,NE,70,91,2.0,61,Hujan Ringan,8989,2025-06-22 23:24:28.930947,20250623150000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 09:00:00+00:00,2025-06-23 16:00:00,30,83,2.9,NE,46,100,0.0,3,Berawan,20009,2025-06-23 10:30:36.113269,20250623160000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 10:00:00+00:00,2025-06-23 17:00:00,28,90,2.0,SW,238,100,0.0,3,Berawan,20007,2025-06-23 07:27:36.385499,20250623170000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 11:00:00+00:00,2025-06-23 18:00:00,25,93,4.3,SE,166,90,1.7,61,Hujan Ringan,9000,2025-06-22 23:24:28.930947,20250623180000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 12:00:00+00:00,2025-06-23 19:00:00,26,96,2.0,SW,238,100,0.6,3,Berawan,20007,2025-06-23 11:23:49.581238,20250623190000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 13:00:00+00:00,2025-06-23 20:00:00,25,94,1.5,NE,67,100,0.6,3,Berawan,20009,2025-06-23 12:56:28.875246,20250623200000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 14:00:00+00:00,2025-06-23 21:00:00,26,97,1.8,S,221,100,0.0,3,Berawan,13442,2025-06-23 14:27:58.612898,20250623210000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 15:00:00+00:00,2025-06-23 22:00:00,24,98,1.5,NE,67,100,0.0,3,Berawan,20009,2025-06-23 11:23:49.581238,20250623220000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 16:00:00+00:00,2025-06-23 23:00:00,25,97,1.0,SE,167,80,0.0,2,Cerah Berawan,16803,2025-06-23 15:29:45.692667,20250623230000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 17:00:00+00:00,2025-06-24 00:00:00,24,98,1.0,SE,167,83,0.0,2,Cerah Berawan,16803,2025-06-23 17:25:24.765449,20250624000000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 18:00:00+00:00,2025-06-24 01:00:00,24,99,4.1,SE,179,88,0.0,2,Cerah Berawan,19989,2025-06-23 11:23:49.581238,20250624010000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 19:00:00+00:00,2025-06-24 02:00:00,24,99,2.0,SE,170,82,0.0,2,Cerah Berawan,12771,2025-06-23 18:37:44.714343,20250624020000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 20:00:00+00:00,2025-06-24 03:00:00,24,99,2.0,SE,170,90,0.0,3,Berawan,12771,2025-06-23 19:21:15.441394,20250624030000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 21:00:00+00:00,2025-06-24 04:00:00,24,99,2.0,SE,170,100,0.0,3,Berawan,12771,2025-06-23 21:25:28.058292,20250624040000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 22:00:00+00:00,2025-06-24 05:00:00,25,99,2.8,SE,160,100,0.0,3,Berawan,9885,2025-06-23 18:37:44.714343,20250624050000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-23 23:00:00+00:00,2025-06-24 06:00:00,26,99,2.8,SE,160,100,0.0,3,Berawan,9885,2025-06-23 23:22:12.864794,20250624060000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 00:00:00+00:00,2025-06-24 07:00:00,26,96,2.8,SE,160,99,0.0,3,Berawan,9885,2025-06-23 21:25:28.058292,20250624070000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 01:00:00+00:00,2025-06-24 08:00:00,28,86,5.3,NE,86,99,0.0,3,Berawan,15595,2025-06-23 18:37:44.714343,20250624080000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 02:00:00+00:00,2025-06-24 09:00:00,29,71,7.5,NE,73,24,0.0,1,Cerah,13993,2025-06-24 02:09:37.396068,20250624090000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 03:00:00+00:00,2025-06-24 10:00:00,30,69,5.3,NE,86,15,0.0,1,Cerah,15595,2025-06-23 21:25:28.058292,20250624100000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 04:00:00+00:00,2025-06-24 11:00:00,30,67,17.8,NE,53,65,0.0,2,Cerah Berawan,14001,2025-06-24 03:52:47.310737,20250624110000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 05:00:00+00:00,2025-06-24 12:00:00,30,66,17.8,NE,53,83,0.0,2,Cerah Berawan,14001,2025-06-24 05:28:08.167062,20250624120000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 06:00:00+00:00,2025-06-24 13:00:00,32,63,8.8,NE,78,21,0.0,1,Cerah,20806,2025-06-23 21:25:28.058292,20250624130000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 07:00:00+00:00,2025-06-24 14:00:00,30,68,12.4,N,28,88,0.0,2,Cerah Berawan,14015,2025-06-24 07:26:55.394686,20250624140000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 08:00:00+00:00,2025-06-24 15:00:00,29,70,12.4,N,28,100,0.0,3,Berawan,14015,2025-06-24 05:28:08.167062,20250624150000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 09:00:00+00:00,2025-06-24 16:00:00,28,76,12.4,N,28,75,0.0,2,Cerah Berawan,14015,2025-06-24 09:30:05.456350,20250624160000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 10:00:00+00:00,2025-06-24 17:00:00,28,84,12.7,S,219,100,0.0,3,Berawan,9846,2025-06-24 07:26:55.394686,20250624170000
Banten,Kota Tangerang,Karawaci,Karawaci Baru,106.6132025655,-6.2027082902,2025-06-24 11:00:00+00:00,2025-06-24 18:00:00,26,91,12.7,S,219,100,0.0,3,Berawan,9846,2025-06-24 11:23:45.677577,20250624180000
